"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","Hashtags","URLs","Media Type","Media URLs"
"1917655140280197477","@iamvictorjack Next js + Typescript + Posgresql (supabase) + vercel","en","Reply","Shubhampawar4841","Shubhampawar484","32","0","0","0","0","0","2025-05-01 00:29:48","https://x.com/Shubhampawar484/status/1917655140280197477","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"1917636356974543285","📅 Day 307

✅ Worked on the Contract signed Editor. 
✅ Working on Whatsapp integral part for post trades.","en","Tweet","Shubhampawar4841","Shubhampawar484","107","0","0","0","7","0","2025-04-30 23:15:10","https://x.com/Shubhampawar484/status/1917636356974543285","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"1917511966576308562","Y’all really be like “check out my website” and drop localhost:3000 💀
Bro… stop this BS. We ain’t on your WiFi.
Deploy it or keep it in your basement.","en","Tweet","Shubhampawar4841","Shubhampawar484","111","1","0","0","4","0","2025-04-30 15:00:53","https://x.com/Shubhampawar484/status/1917511966576308562","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"1917509979076006182","@ThakurAbhay342 Portfolio : https://t.co/MdNC1B0Fbe
Twitter : https://t.co/8o2DXrAYZ0
Gtihub: https://t.co/NxvAUTUsk5","in","Reply","Shubhampawar4841","Shubhampawar484","47","0","0","0","0","0","2025-04-30 14:52:59","https://x.com/Shubhampawar484/status/1917509979076006182","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","https://port-folio-ilfv.vercel.app
https://x.com/Shubhampawar484
https://github.com/shubhampawar4841","",""
"1917273894773198972","@trikcode Blessing","en","Reply","Shubhampawar4841","Shubhampawar484","4","0","0","0","0","0","2025-04-29 23:14:52","https://x.com/Shubhampawar484/status/1917273894773198972","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"1917273512064004579","📅 Day 306

✅ Worked on the Sales modal.
✅ Implementing  Signed contract functionality. 
✅ Exploring monorepos and turborepos so that will complete that pending paytm project.","en","Tweet","Shubhampawar4841","Shubhampawar484","97","0","0","0","4","0","2025-04-29 23:13:21","https://x.com/Shubhampawar484/status/1917273512064004579","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"1916903438283133404","@asdts007 Bhai merese photo mangta","hi","Tweet","Shubhampawar4841","Shubhampawar484","33","0","0","0","0","0","2025-04-28 22:42:48","https://x.com/Shubhampawar484/status/1916903438283133404","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"1916563876910358822","@amritwt U mean play Zathura right?","en","Reply","Shubhampawar4841","Shubhampawar484","6","0","0","0","0","0","2025-04-28 00:13:30","https://x.com/Shubhampawar484/status/1916563876910358822","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"1916563013248618608","@Dearme2_ Watching meaningless content like roasting, cringe, envy, reactions videos. 
I just replace the content with meaningful content like human psychology, geopolitics, history, astrophysics etc.","en","Reply","Shubhampawar4841","Shubhampawar484","991","0","0","0","7","1","2025-04-28 00:10:05","https://x.com/Shubhampawar484/status/1916563013248618608","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"1916562373265043556","@theawesomedev_ Watch sikandar u will probably died with stroke.","en","Reply","Shubhampawar4841","Shubhampawar484","54","1","0","0","1","0","2025-04-28 00:07:32","https://x.com/Shubhampawar484/status/1916562373265043556","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"1916439439544398140","@imchiragkumar I had seen some startups using RBAC and RLS.","en","Reply","Shubhampawar4841","Shubhampawar484","13","0","0","0","0","0","2025-04-27 15:59:02","https://x.com/Shubhampawar484/status/1916439439544398140","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"1916350046355783935","@yr_hexadecimal a person who thinks all the time has nothing to think about except thoughts.","en","Reply","Shubhampawar4841","Shubhampawar484","65","0","0","0","0","0","2025-04-27 10:03:49","https://x.com/Shubhampawar484/status/1916350046355783935","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"1916184762269749542","📅 Day 304

✅ Worked on the Dashboard Client acquisition and Revenue modal.
✅ Recreating V-Ideas lets see where is takes.
✅ Exploring WhatsApp Business integration for next few days. https://t.co/i2hf0W7nTA","en","Tweet","Shubhampawar4841","Shubhampawar484","121","0","0","0","5","0","2025-04-26 23:07:02","https://x.com/Shubhampawar484/status/1916184762269749542","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","photo","https://pbs.twimg.com/media/Gpen4SSWUAAhSgF.png
https://pbs.twimg.com/media/Gpen4SKWAAAxMWJ.png
https://pbs.twimg.com/media/Gpen4SLXkAAOZAR.png
https://pbs.twimg.com/media/Gpen4SJWcAEr95g.png"
"1916146306071826939","@asdts007 Ek toh recession aur ek tum log🙂","en","Tweet","Shubhampawar4841","Shubhampawar484","17","0","0","0","0","0","2025-04-26 20:34:14","https://x.com/Shubhampawar484/status/1916146306071826939","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"1915771673720091058","📅 Day 303

✅ Worked on the Dashboard.
✅ Worked on Trade Accuracy, Revenue Modal.
✅ Exploring XIRR calculations, Returns etc. https://t.co/oblsOb74EK","en","Tweet","Shubhampawar4841","Shubhampawar484","130","1","0","0","7","0","2025-04-25 19:45:34","https://x.com/Shubhampawar484/status/1915771673720091058","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","photo","https://pbs.twimg.com/media/GpYwLN9WsAAaYxI.png
https://pbs.twimg.com/media/GpYwLOAXUAACY_A.png"
"1915749088433152398","@doubleSdotdev Bro why not ss?","en","Reply","Shubhampawar4841","Shubhampawar484","17","1","0","0","0","0","2025-04-25 18:15:50","https://x.com/Shubhampawar484/status/1915749088433152398","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"1915702791298760748","@shydev69 Theme for vscode","en","Reply","Shubhampawar4841","Shubhampawar484","33","0","0","0","0","0","2025-04-25 15:11:52","https://x.com/Shubhampawar484/status/1915702791298760748","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"1915676543482831295","@may_hemant TCS should just become a country. No inflation, just eternal ₹3.5 LPA peace.","en","Reply","Shubhampawar4841","Shubhampawar484","37","0","0","0","0","0","2025-04-25 13:27:34","https://x.com/Shubhampawar484/status/1915676543482831295","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"1915675614104760685","@Sonasha99 Seriously? 
My viva was about hometown I lived in.","en","Reply","Shubhampawar4841","Shubhampawar484","501","2","0","0","3","0","2025-04-25 13:23:52","https://x.com/Shubhampawar484/status/1915675614104760685","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
