"css-9pa8cd src","css-175oi2r href 2","css-1jxf684 2","css-1jxf684 3","css-1jxf684 4","css-146c3p1 href 2","r-4qtqp9 src","css-1jxf684 5","css-9pa8cd src 2","css-1jxf684 7","css-146c3p1 2","css-1jxf684 8","css-1jxf684 9","css-1jxf684 10","css-175oi2r href 4","css-1jxf684 11","css-175oi2r href 5","css-1jxf684 12","css-1jxf684 href","css-1jxf684 14","css-175oi2r href 6","css-1jxf684 15","r-4qtqp9 src 2","r-4qtqp9 src 3","r-4qtqp9 src 4","css-1jxf684 16","css-1jxf684 href 2","css-1jxf684 21","css-1jxf684 href 3","css-9pa8cd src 3","css-146c3p1 3"
"https://pbs.twimg.com/profile_images/1995172300480827392/QS6XpVcm_normal.jpg","https://x.com/Shubhampawar484","Shubhampawar4841","@Shubhampawar484","·","https://x.com/Shubhampawar484/status/1971173057445429644","https://abs-0.twimg.com/emoji/v2/svg/1f4c5.svg","Day 358 (6 hrs session)

- Added audio uploads for profiles
- Improved subscription flow for new users
- Implemented subscription flow for authenticated users using Supabase
- Implemented onboarding progress tracking with reactive state
- Built a simple API interface for","https://pbs.twimg.com/ext_tw_video_thumb/1971172957469986816/pu/img/S46QlKqdg-kaAafs?format=jpg&name=tiny","0:21","1 MB","Load video","1","3","https://x.com/Shubhampawar484/status/1971173057445429644/analytics","149","","","","","","","","","","","","","","",""
"https://pbs.twimg.com/profile_images/1995172300480827392/QS6XpVcm_normal.jpg","https://x.com/Shubhampawar484","Shubhampawar4841","@Shubhampawar484","·","https://x.com/Shubhampawar484/status/1971120163429753174","https://abs-0.twimg.com/emoji/v2/svg/1f4c5.svg","Best Calendar & Scheduling Tools – 2025

1. Google Calendar – Free, widely used, integrates with Gmail & other Google apps.  
2. Microsoft Outlook Calendar – Enterprise favorite, integrates with Microsoft 365.  
3. Apple Calendar – Built-in macOS & iOS calendar, simple and","https://pbs.twimg.com/media/G1rTVJyW4AAMoPi?format=jpg&name=tiny","Load image","31 KB","","","","https://x.com/Shubhampawar484/status/1971120163429753174/analytics","155","https://x.com/Shubhampawar484/status/1971120163429753174/photo/1","","","","","","","","","","","","","",""
"https://pbs.twimg.com/profile_images/1995172300480827392/QS6XpVcm_normal.jpg","https://x.com/Shubhampawar484","Shubhampawar4841","@Shubhampawar484","·","https://x.com/Shubhampawar484/status/1971101114301870389","https://abs-0.twimg.com/emoji/v2/svg/26a1.svg","Cache in System Design

1. Cache → A high-speed data storage layer that stores frequently accessed data for quick retrieval.  
2. Cache Hit → When the requested data is found in the cache, leading to fast response.  
3. Cache Miss → When the data is not in the cache,","","","","","2","","https://x.com/Shubhampawar484/status/1971101114301870389/analytics","103","","","","","","","","","","","","","","",""
"https://pbs.twimg.com/profile_images/1995172300480827392/QS6XpVcm_normal.jpg","https://x.com/Shubhampawar484","Shubhampawar4841","@Shubhampawar484","·","https://x.com/Shubhampawar484/status/1971100085116137721","https://abs-0.twimg.com/emoji/v2/svg/1f916.svg","Evolution of Large Language Models (LLMs)

2018 – BERT (Google) → First major breakthrough in understanding context in text.  
2019 – GPT-2 (OpenAI) → Showed coherent text generation, but limited release for safety.  
2020 – GPT-3 (OpenAI) → Massive 175B parameters,","","","","","1","","https://x.com/Shubhampawar484/status/1971100085116137721/analytics","104","","","","","","","","","","","","","","",""
"https://pbs.twimg.com/profile_images/1995172300480827392/QS6XpVcm_normal.jpg","https://x.com/Shubhampawar484","Shubhampawar4841","@Shubhampawar484","·","https://x.com/Shubhampawar484/status/1970831825716347182","","20 Common SQL Terms

1. Table – Collection of rows and columns storing data.  
2. Row (Record) – A single entry in a table.  
3. Column (Field) – Attribute of a table defining data type.  
4. Primary Key – Unique identifier for each row in a table.  
5. Foreign Key – Column that","","","","","2","","https://x.com/Shubhampawar484/status/1970831825716347182/analytics","106","","","","","","","","","","","","","","",""
"https://pbs.twimg.com/profile_images/1995172300480827392/QS6XpVcm_normal.jpg","https://x.com/Shubhampawar484","Shubhampawar4841","@Shubhampawar484","·","https://x.com/Shubhampawar484/status/1970775838758215692","https://abs-0.twimg.com/emoji/v2/svg/1f4c5.svg","Day 357 (6 hrs session)

- Worked on integrating Stripe payouts
- Handled check payments processing
- Tested a bunch of APIs to make sure everything works
- Tweaked account management features
- Improved the look and feel of the CRM panels
- Fixed some small bugs in accounts","https://pbs.twimg.com/ext_tw_video_thumb/1970775775029710848/pu/img/i8V8bydsvEzmOAQ_?format=jpg&name=tiny","0:16","795 KB","Load video","3","","https://x.com/Shubhampawar484/status/1970775838758215692/analytics","287","","","","","","","","","","","","","","",""
"https://pbs.twimg.com/profile_images/1995172300480827392/QS6XpVcm_normal.jpg","https://x.com/Shubhampawar484","Shubhampawar4841","@Shubhampawar484","·","https://x.com/Shubhampawar484/status/1970759609586511884","","20 Trending / Interesting Topics to Explore

1. AI & Generative AI trends  
2. Blockchain & Web3 innovations  
3. Climate change & sustainable solutions  
4. Space exploration & commercial space travel  
5. Mental health awareness & self-care strategies  
6. Future of remote work","","","","3","1","1","https://x.com/Shubhampawar484/status/1970759609586511884/analytics","204","","","","","","","","","","","","","","",""
"https://pbs.twimg.com/profile_images/1995172300480827392/QS6XpVcm_normal.jpg","https://x.com/Shubhampawar484","Shubhampawar4841","@Shubhampawar484","·","https://x.com/Shubhampawar484/status/1970738303017328850","","20 Common System Design Terms

1. Scalability – Ability of a system to handle growth in load.  
2. Latency – Time taken to process a request.  
3. Throughput – Number of requests processed per unit time.  
4. Load Balancer – Distributes traffic across multiple servers.  
5.","","","","","1","","https://x.com/Shubhampawar484/status/1970738303017328850/analytics","143","","","","","","","","","","","","","","",""
"https://pbs.twimg.com/profile_images/1995172300480827392/QS6XpVcm_normal.jpg","https://x.com/Shubhampawar484","Shubhampawar4841","@Shubhampawar484","·","https://x.com/Shubhampawar484/status/1970735553739116638","","20 Common Database Terms

1. Schema – Structure of the database (tables, relationships, constraints).  
2. Table – Collection of rows and columns (like a spreadsheet).  
3. Row (Record/Tuple) – A single entry in a table.  
4. Column (Field/Attribute) – A specific data type in a","","","","","1","3","https://x.com/Shubhampawar484/status/1970735553739116638/analytics","146","","","","","","","","","","","","","","",""
"https://pbs.twimg.com/profile_images/1995172300480827392/QS6XpVcm_normal.jpg","https://x.com/Shubhampawar484","Shubhampawar4841","@Shubhampawar484","·","https://x.com/Shubhampawar484/status/1970503086373474799","https://abs-0.twimg.com/emoji/v2/svg/1f4c5.svg","Day 356 (5.5 hrs session)

- Set up real-time notifications for client activities and system alerts
- Built a dynamic reporting dashboard with charts and filter options
- Optimized database queries to speed up transaction lookups
- Added file upload and storage for client","https://pbs.twimg.com/ext_tw_video_thumb/1970502871608156160/pu/img/MnT936PSvHMqePfd?format=jpg&name=tiny","0:11","808 KB","Load video","6","","https://x.com/Shubhampawar484/status/1970503086373474799/analytics","403","","","","","","","","","","","","","","",""
